date,close,volume,open,high,low
'2017/09/15',176.7000,26554710.0000,177.9000,179.7500,176.7000
'2017/09/14',177.1000,22763010.0000,177.5400,179.9300,176.0200
'2017/09/13',178.9700,21960190.0000,175.7500,179.1000,175.5600
'2017/09/12',175.3100,15606930.0000,174.8900,175.6200,173.3700
'2017/09/11',174.0600,18224880.0000,171.5000,174.2000,171.5000
'2017/09/08',169.0000,12337480.0000,169.9900,171.2200,168.9200
'2017/09/07',170.4800,15061590.0000,169.2600,170.9700,168.0000
'2017/09/06',168.1400,19956480.0000,170.1700,171.1100,167.0000
'2017/09/05',169.9200,14956400.0000,169.4700,171.9300,168.7378
'2017/09/01',171.0400,11155170.0000,171.9900,172.3863,170.6500
'2017/08/31',171.7400,16471180.0000,172.5400,172.9000,170.2500
'2017/08/30',171.2500,17736920.0000,169.1500,172.3900,169.1500
'2017/08/29',167.4100,19560760.0000,165.1500,169.2300,164.3500
'2017/08/28',168.3000,24395950.0000,171.1500,171.3400,167.0600
'2017/08/25',171.7400,24132130.0000,174.8000,174.9400,171.1100
'2017/08/24',175.0000,20757320.0000,177.0000,177.0000,174.3000
'2017/08/23',175.8000,21907920.0000,172.9000,176.2300,172.7500
'2017/08/22',174.4600,24427590.0000,170.0200,174.7700,169.6400
'2017/08/21',169.2500,22317510.0000,168.2900,170.6000,166.9800
'2017/08/18',167.5000,31463720.0000,165.3600,169.5000,164.1000
'2017/08/17',163.9200,56786950.0000,166.1200,168.0000,163.5100
'2017/08/16',159.5000,21192550.0000,160.0000,160.3500,158.5350
'2017/08/15',157.7500,18606600.0000,155.7400,158.3200,154.0000
'2017/08/14',154.6100,14567530.0000,154.7700,155.0800,153.1000
'2017/08/11',151.7000,22296070.0000,150.5100,152.5700,147.5000
'2017/08/10',151.7700,18931260.0000,156.2000,156.5000,151.2500
'2017/08/09',157.4900,10994800.0000,156.0500,157.7100,155.2000
'2017/08/08',157.5000,15413790.0000,158.5600,159.8400,156.8000
'2017/08/07',158.8400,15873550.0000,154.8300,158.9900,154.3700
'2017/08/04',153.3300,10023700.0000,154.3200,154.3200,152.1600
'2017/08/03',153.3200,12412750.0000,152.1000,153.8000,149.6000
'2017/08/02',151.9100,19494160.0000,155.4700,155.7500,149.1000
'2017/08/01',154.7300,11976760.0000,156.2500,156.6100,153.8000
'2017/07/31',154.9500,17750860.0000,158.9000,159.3900,153.5000
'2017/07/28',157.5600,14438300.0000,153.9600,158.9600,152.8200
'2017/07/27',154.1500,26027590.0000,157.8500,160.3900,151.3300
'2017/07/26',155.7900,14425820.0000,152.5300,156.0000,152.3600
'2017/07/25',152.4400,8447232.0000,152.3600,152.7500,150.8500
'2017/07/24',152.2600,10630370.0000,152.7700,153.2300,151.6000
'2017/07/21',151.8900,11441250.0000,151.7900,152.1500,150.3100
'2017/07/20',152.1100,16606860.0000,153.9600,154.1200,151.8400
'2017/07/19',153.1500,16776380.0000,155.1400,156.4100,152.6400
'2017/07/18',153.7500,15292620.0000,151.0800,154.6000,150.4800
'2017/07/17',151.2300,15317140.0000,153.5300,153.7000,150.4200
'2017/07/14',151.8300,11459670.0000,150.1200,152.2500,149.6900
'2017/07/13',149.5200,11672540.0000,149.5200,150.0000,148.0000
'2017/07/12',149.0000,14940130.0000,147.3800,149.3000,146.8500
'2017/07/11',145.8100,13507130.0000,144.2900,145.8700,143.2600
'2017/07/10',143.8100,10334210.0000,143.0000,144.1600,142.2500
'2017/07/07',142.4300,8034802.0000,142.6500,143.3785,141.8310
'2017/07/06',142.2000,11918460.0000,143.0100,143.6200,141.8300
'2017/07/05',144.8700,16969000.0000,141.1600,145.0000,140.3300
'2017/07/03',140.9900,6975712.0000,141.7500,142.4900,139.4950
'2017/06/30',140.9000,12267040.0000,141.0300,142.3800,139.9200
'2017/06/29',140.8100,24112460.0000,143.1600,143.5600,137.5200
'2017/06/28',143.9500,17738130.0000,142.6500,144.3700,141.4800
'2017/06/27',141.5300,17357530.0000,143.9000,144.3800,141.1000
'2017/06/26',142.7300,17820360.0000,144.0300,145.3600,141.2700
'2017/06/23',143.0100,11748910.0000,142.1000,143.3400,141.6000
'2017/06/22',142.2700,21880720.0000,142.0500,144.6800,140.8800
